text,comment
سلام دوستان یه بزرگواری بیاد تخمین کنه واسه ببینیم چیکار کردیم بخدا چشمون سفید شد از بس منتظر جواب موندیم ریاضی 20 .. زیست و شیمی 37 ...فیزیک 27.. معدل کتبی 19.26 منطقه 3,1
سلام بچه‌ها یه سوال داشتم چند تا منبع باید زد موندم چندتا بزنم مثلا مبحثی بایه منبع واقعا کامل یاد میگیرم ولی باز میگم تیپ تست دیگه ای شاید منبع دیگه باشه می‌خواستم بدونم چندتا تکمیله ممنونم ازتون,1
سلام بچه‌ها با ریاضی 60 رتب اومدم باهاتون درددل و مشورت کنم چون جای دیگه ندارم. من امسال دانشجو شدم و از همون اول با سه چهار تا از همکلاسیا هم خوابگاهی و دوست شدیم طبعا . من برعکس اینا أدم اجتماعی نیستم هر چند خیلی دوست دارم تغییر کنم و این باعث شد که یکم فاصله بگیرم ازشون الان که آخر ترم شده فهمیدم که قراره برن ی خوابگاه دیگه و خیلی چیزای دیگه که فقط بین خودشونه و به من نمیگن حتی گروه تشکیل دادن تو مجازی من از همون اول ترس اینو داشتم که دوست و اکیپ پیدا نکنم الانم اینطوری شد بد جوری دلم گرفته .,1
سلام بچه‌ها خوبین؟شماهم مثل من خجالتی هستین؟الان تو یه جمعی هستم و خیلی خجالت میکشم چیکار کنم😰,1
بر خدا توکل کن عزیزم,0
کاربر آ10 عزیز ممنونم از پاسختون به نظرتون با معدل 15 و درصد شیمی 35 و زمین 70 و ریاضی مثلا اگر 2یا 3 سوال جواب بدم و فیزیک 15 تا 20 درصد وزیست 30 تا 40 درصد جواب بدم میتوتم بهداشت محیط روزانه بیارم خودم بومی کرمانشاه هستم یعنی میشه کرمانشاه یا شهرای اطرافشو بیارم,1
سلام خدمت شما ببخشید تراز منم حساب میکنید ریاضی 20 .. زیست و شیمی 37 ...فیزیک 27.. معدل کتبی 19.26 منطقه 3,1
سلام خدمت شما کاربر آ33 ببخشید تراز منم حساب میکنید ریاضی 20 .. زیست و شیمی 37 ...فیزیک 27.. معدل کتبی 19.26 منطقه 3,1
سلام خدمت شما کاربر آ33 ببخشید تراز منم حساب میکنید ریاضی 20 .. زیست و شیمی 37 ...فیزیک 27.. معدل کتبی 19.26 منطقه 3,1
بچه‌ها واقعا چرا الان که من با کلی زحمت با رتبه خوب پزشکی اوردم یهو این همه ظرفیت زیاد شد؟😭😭 بخدا من حسود نیستم من به فکر خودمم که این همه تلاش کردم همش بر باد رفت 😭 طوری شده که قبول شدنش از نشدنش راحت تره و بازار کارش خراب شده چرا اینقد بدشانسم اخه😭,1
سلام بچه‌ها کسی می‌دونه کارنامه ترمیم معدل رو کی میدن؟,1
کسی هست کتابای رشته انسانی رو اهدا کنه؟,1
بچه‌ها لطفا جوابمو بدین قسمتون دادم 😔😔,1
برای درصد 40 زیست الان که 45 سوال شده باید 18 سوال جواب بدی.اما اینو بهتون بگم زییت مبحثی نیست بگی اینو میخونم این فصلو نمیخونم من پارسال کل زیستو خوندم تازه 45 درصد شد.و بهداشت میتونی بری کارنامه هاشو سرچ کنی نمونه 6ست در کل رتبه خیلی هم عالی نمیحواد.کنکور دی بجز ریاضی لول بقیه معقول بود اما ممکنه در حین سادگی بعصی وقتا سوالات دام دار باشن مثل زیست پارسال,0
بچه‌ها تستای حرکت برا شما هم سخته من فیزیک خیلی خوبه ولی میخوام حرکت حذف کنم چون حس میکنم وقت الکی میزارم تستاش هر سال ایده جدید داره یا خیلی سخته,1
کلن فصل سختیه ولی مثلن اگه هرشب نیم ساعت براش بزاری و تیپای مختلفشو کار کنی بهتر نیست؟ آخه فصل مهمیه..بازم هرجور خودت می‌دونی عزیز,0
اگه درصد بالا نمیخوای حذفش کن.ولی اگه میدونی وقت داری تنها راه حرکت اینه که تست‌های بیشتر حل کنی یعنی تیب تست بیشتری ببینی.من خودم سال 99 این مبحثو حذف کردم ولی پارسال همه فیزیکو خوندم بجز فشار و فصل 4 دهم 72 درصد زدم,0
