text,comment
آقا چرا خودتون رو میبازید سوالات آسونو شکار کن بابا به خدا به قرآن به پیر به پیغمبر آرامشتو حفظ کن فقط آسونا رو بزن چندتا سختاش رو هم باش کشتی بگیر حلش کن به رشته دلخواهت میرسی.نترسید قوی باشید.بیخیال فرش بیا تو با کفش استرس چه معنا دار وعده ما فردا 8:30 حماسه بپا میکنیم شاخ سوالات رو میشکونیم.,1
گفتنش خیلی آسون دوست عزیز ولی به نظرم ما به اندازه کافی تلاش میکنیم طراحای کنکور باید یه کم نگرششون رو عوض کنن و سوالات استاندارد طرح کنن. حداقل اگه این کار رو هم نمیخوان بکنن اعلام کنن ما از روی منابع المپیاد درس بخونیم. کنکور 1400 تو هر درس نهایتا 6 تا سوال راحت بود. بقیه متوسط محاسباتی بودن یا کلا سخت,0
دوست عزیز این حرفی که شما میزنی رو ما خیلی خوب بلدیم مشکل این جاست که این کنکور حداکثر 3 یا 4 سوال ساده داشت! خیلی گشتم که سوال ساده پیدا کنیم ولی سه چهار تا بیشتر نبود 😊,0
ی لایک زدم 350 تا اضافه شد صلوات,0
دمت گرم.بهترین حرفی بود ک این چنروز شنیدم,0
میشه هر کی این کامنت رو لایک کرده واسه منم لایک کنه یهو دلم خواست چیکار کنم 😇🥺,0
دمت گرم,0
مگه آزمون ساعت 8 نیست؟,0
ایشالا ک موفق باشید ولی عزیزم حتما بعد کنکورتون یه نگاهی یه سوالات ریاضی ما بندازید,0
یا علی بگو حماسه ای به پا کن دوباره🙃,0
گشته ایم ما نگرد نیست!,0
باش باش,0
چون 900 نفر لایکش کردن دلیل نمیشه تو هم لایک کنی,0
دقیقا من شیمی 10 12 تا اسون زدم 4 5 سخت تموم شد 40 50 درصد زدم. فیزیکم همینطور. فقط ریاضی اسون نداشت جز یکی,0
چقد خوب نوشتی ایول,0
انسان شریفی هستی 🥰🥰🥰,0
پیاده شو باهم بریم امتحان کنکور فردا راس ساعت 8 هستش,0
ما شاء الله انگیزه 👏👏مرسی🥳,0
تبریک میگم پین شدید,0
بابا ساعت شروع 8 هست یا 8:30 بالأخره؟,0
میبینمتون😆,0
متاسفانه تو ریاضی سوال اسونی وجود نداشت یعنی جوری هست ک حتی یک دونه رو هم نمیتونم حل کنم,0
انشالله,0
هیچ سوالی پیدا نکردم تو ریاضی که بلد باشم,0
هنوز سوالات امروز رو ندیدی که داری این حرفو میزنی,0
میشه پیام من رو هم پین کنید😐😐😐,0
وای فردا خدا رحم کنه,0
بهترین استراتژی,0
وی در حالیکه زیر باد کولر نشسته شرایط رو با سر جلسه کنکور مقایسه میکند,0
وای خوشبحالت چقدر ریلکس هستی🥰,0
وقتی فردا سر جلسه از شدت استرس دیدی و حتی سوالای اسونم نتونستی جواب بدی میبینمت...اینو من نگفتما یکی از دوستام وقتی جملتو بهش گفتم اینو گفت🙄😂❤,0
ای جان ...✌️✌️,0
ساعت 8😆😆😆,0
احسنت😊,0
اگه تجربی‌های تراز بالای 6000 فردا میانگین تونستن 5 ریاضی جواب بدن بعدش تو هر چی خواستی بگو سنجش سوالات رو منتشر میکنه اون وقت حالیت میشه چه وضعیتی به وجود اومده,0
لعنتی مثبت,0
بهترین کامنت امروز همین بود,0
ایول.فردا همه باهم میترکونیم .سوالا در حد مرگ هم سخت باشه توش اسون هست ما اونارو میزنیم .فردا این موقع حالمون اوکیه,0
موفق باشی دوست عزیز❤️❤️❤️,0
علی یارت 🌼🌸,0
من چه قد اروم شدم یهو مثل اب رو اتیش👏👏,0
انا احبک کثیرا,0
میترکونیم داداش💪💪💪💪💪👊👊👊👊👊,0
دمت گرم،ایشالاافردامیترکونیم,0
کنکور سخت بدیش اینه که ادم خودشو میبازه.به خدا کنکور 99 هم هردرسی چند تا سوال ساده داشت اگه خودشونو کنترل کنن و حداقل هر درسی رو 40 بزن نتیجه دلخواهشونو میگیرن,0
👏👏👏👏👏,0
ایول حلالت بخدا یه حرف حق تو کامنتا دیدم همین بود بزن بریم برادر دربست ایستگاه فضایی بین المللی 💪💪💪,0
داداچ عالی هستی دعای خیرم پشت خودم و خودته😁,0
اگه نداشت چی,0
ادبیات به نظرم یکم آسون‌تر از 1400 بود، عربی ترجمش خیلی سخت بود ولی باقی آن راحت بود. دینی و زبان معمولی بودن. ریاضی سخت بود ولی فیزیک و شیمی یکم ساده‌تر از 1400 بودن. (به نظر من),1
سلام من رشتم ریاضیه کنکوریه 1401 زبانم اصلا خوب نیست و الان 122 روز دیگه ب کنکور مونده میخواستم بپرسم بنظرتون برا زبان چیکار کنم میتونم الان بخونمش حداقل چن تا تست بزنم یا اینکه برم صفر بزنم وقتمو براش نزارم؟!,1
سلام کسی میدونه کاروان حذف دروس عمومی به چه سویی رفته؟,1
سلام دوستان دیگه نتایج اومده و خیلیاتون ناراحتید بعضیها هم خوشحال... تو این کامنت اعلام کنید 1401 میمونید یا نه؟ و اینکه بنظرتون 1401 کدوم درسا سخت‌تر میشه؟ 10 مهر 1400,1
سال پیش رو شیمی مانور دادن امسال ریاضی سال دیگه هم حتما فیزیک را سخت میدن😶🙂,0
بچه بیا پایین سرمون درد گرفت,1
سلام جواب کنکور کی میاد؟!😵,1
بچه‌ها به نظرتون نتیجه نهایی کنکور دقیقا چه زمانی میان؟,1
سلام بچه‌ها یه سوال من اهل اصفهان هستم به نظرتون بین دانشگاه صنعتی اصفهان و امیرکبیر با توجه به سختی‌های خوابگاه و... کدوم بهتره؟ و تفاوت علمی دوتا دانشگاه تا چه حدی هست؟,1
ممنون از همگی🌹🌹,0
سلام،من برادرم که لیسانس صنعتی بود فوق رو رفت امیرکبیر،از نظر سختگیری و این که چیز حالید بشه بعد گرفتن مدرک‌صنعتی بهتره،ولی امیرکبیر یکم اسون‌تر میگیره بهترم نمره میدن(البته میشه گفت مثلا کامپیوتر صنعتی شاید یه کم بهتر باشه و عمرانشم همینطور ولی برق امیرکبیر بهتره ولی باور کن اونقدر فرق نداره)،و در کل با جرئت میتوتم بگم هیچ فرقی نداره فقط شریفه که با اینا فرق داره و هر کودوم رفتی مطمئن باش اگه بخونی موفق میشی،و هر کودوم به شهر و استانت نزدیک تره بزن,0
امیرکبیر درکل بهتره,0
حالا دیگه زدی رفته،ولی علمی هیچ فرقی ندارن ایشالا میری دانشگاه میفهمی....,0
از نظر علمی امیرکبیر بالا تره,0
سلام بچه‌ها بنظرتون با 5000 و خورده منطقه 1 چه رشته‌های میتونم تو خود تهران بیارم؟ روزانه منطقه 1,1
بچه‌ها رشته ریاضی و فیزیک شریف برای اپلای چطوره ؟ کسی اطلاع داره ؟ ممنون میشم جواب بدید.,1
