text,comment
سلام بچه‌ها من تو 16 تا کنکور عمومی که تا الان دادم ادبیات 55 عربی 50 دینی 80 زبان 65 زبان تخصصی 30 منطقه 3 میتونم تهران بیارم ؟,1
خیلی ممنونم ازت😄,0
سلام اره حتما میتونی فقط سعی کن رو نقاط قوتت کار کنی مثلا دینی که 80 میزنی رو بیشتر بخون,0
سلام بچه‌ها من تو 16 تا کنکور عمومی که تا الان دادم ادبیات 55 عربی 50 دینی 80 زبان 65 زبان تخصصی 30 منطقه 3 میتونم تهران بیارم ؟,0
سلام ..خواهشا جواب بدید ممنون میشم ازتون..با این درصد‌ها منطقه 2 حدودا چه رتبه ای میشه آورد..ادبیات 25 عربی 45 دینی 50 زبان عمومی 60 زبان تخصصی 25,1
بچه‌ها سلامم ..مدیونتونم اگه جواب بدید لطفا.. با درصد ادبیات 84 عربی 80 دینی 91 زبان عمومی 64 زبان تخصصی 30 میشه منطقه 2 زیر 1500 اورد .. دمتون گرم اگه جواب بدید,1
بله. تقریبا اگه اشتباه نکنم ، 200 تا 300 میشه رتبتون,0
سلام،اینکه تو دفترچه تخصصی زده زبان تخصصی چیه؟ چه کتابیو واسش بخونیم؟,1
منبع خاصی نداره فقط هفتادتا سوال زبان تقربیا سطح بالا شامل گرامر . لغات . درک مطلب . کلوز تست و اصطلاحات زبان هست که هیچ منبعی نداره و و فقط باید تا میتونید سطح زبانتون رو ارتقا بدید.,0
سلام بچه‌ها چرا دفترچه انتخاب رشته زبان رو بارگذاری نکردن؟🤔,1
بله احتمالش هست,1
به نظرتون با رتبه 1400 منطقه 2 زبان میتونم دانشگاه اصفهان برم؟,1
زبان چرا اینجوریه با 2500 مسخره‌ترین جا باس برم,1
اگه زبان روسی یا ترکی استامبولی بخوایین برین میتونین علامه طباطبایی یا الزهرا تهران قبول شین,0
بله متاسفانه ظرفیت ورودی خیلی محدوده,0
دوستان با رتبه 1300 منطقه 1 دانشگاه تبریز میارم ؟,1
بله میارید,0
ی ذره از پارسال بهتر شد رتبه‌ها تو زبان,1
فک کنم بخش اعظم اش بخاطر زبان تخصصی باشه,0
سلام دوستان از رتبه‌ها راضی بودید؟,1
