text,comment
سلام کسی کد 5 فرهنگیان خورده بعد قبول شده باشه؟ چقد امید هست برا کد 5 لطفا جواب بدید😢,1
زنده این؟🤔,1
سلام رافائل تحقیقات محلی فرهنگیان برای همه کسایی که دعوت ب مصاحبه شدن انجام میشه؟,1
سلام بچه‌ها من رفته بودم مصاحبه بچه هایی که دیدم آموزش استثنایی نزده بودن. الان من که همه استثنایی هارو زدم شانسم برای قبولی این رشته چقدره؟اولویت‌های وسط زدم,1
دوستان کیا دعوت به مصاحبه شدن؟,1
من دعوت شدم,0
سلام با تراز 7000 هزار ورتبه 28 هزار منطقه سه استان خوزستان امیدی به فرهنگیان هست,1
40 درصد احتمال داره,0
تراز علمی 6600ومجاز به فرهنگیان شده باشی و زیر گروه 3 تنها تراز بالای 6500 و تمام کدوم رشته فرهنگیان استانت را بزنی آیا ممکن است دعوت به مصاحبه بشوی ِطفاََ جواب بدهید ...ودر ضمن درسته زیر رشته ای برای فرهنگیان ندارد چند درصد شانس هست,1
30درصد,0
در ضمن همه کد رشته فرهنگیان استانت را بزنی,1
تراز علمی 6600و مجاز به فرهنگیان شده باشی زیر گروه 3 فقط بالای 6500و زیر گروه‌های بعدی زیر 6500 شده باشند آیا امکانش هست دعوت به مصاحبه بشی استان کرمان لطفاََ جواب بده,1
خیر نیست,0
سلام کسی سال‌های قبل با تراز 8هزار انسانی منطقه 3 ب مصاحبه دعوت شده شانس من چقدره یعنی😢,1
80درصد,0
سلام دوستان با تراز 7670انسانی منطقه دو فرهنگیان دختر قبول میشم تو رو خدا جوابمو بدین کسی که اطلاعاتش بالا ست با این تراز بوده قبول شده باشن ممنونم اگه جوابمو بدین,1
اره انشالله ک قبولی آماده شوبرای مصاحبه,0
یعنی شانس دعوت به مصاحبه رو دارم,0
باید مصاحبه قوی باشه تا قبول شی چون دوبرابر ظرفیت صدا میکنن تا بهترین هارو انتخاب کنن,0
سلام با رتبه 6هزار و تراز 8364 شانس دعوت به مصاحبه فرهنگیان هست ؟استان کردستان تو روخدا جواب بدید زندگیم ب همین بستگی داره😢,1
اره شانست زیاده ترازت بالاست از آموزش ابتدایی راحت قبول میشی,0
تراز 7600 رتبه 8هزار منطقه دو شانس قبولیم چقدره؟ هدفم اموزش ابتداییه,1
استان مرکزی شهر اراک ظرفیت استانمون تقریبا 200 تاس پسرم هستم,0
شما چه استانی هستید,0
سلام رتبه وترازتون خوبه بستگی به ظرفیت شهر ورقباتون داره اگر پسر باشی چه بهتر چون رقابت بین دخترا برای فرهنگیان بالاتره وتعدادشونم در کنکور انسانی زیاد تره اگه شهرتون از پنجاه نفر بیشتر ظرفیت داره شانستون خوبه چون امسال دو برابر دعوت میشه,0
هفت هزار به بالا شانس خوبی دارن قبول بشن هفت هزار و پانصد خیلی بیشتر,1
بله با توجه به شرایط بومی گزینی امسال شانس قبولی بسیار بالا رفته,0
سلام با تراز 7600 انسانی منطقه سه چقدر احتمال داره به مصاحبه دعوت بشم ؟دختر، اهل قزوین هستم,1
استانمون 77 نفر دختر برمیداره خیلی نگرانم بابت مصاحبه میترسم قبول نشم,0
چون دختر هستید ورقابت بین دخترا بالاتره بستگی به ظرفیت بومتون ورقباتون داره اگه ظرفیت بومتون بالا باشه چون دوبرابر دعوت میشه شانس اینو دارید با یه مصاحبه خوب قبول بشی,0
بچه‌ها فراموش نکنید فقط رتبه وتراز مهم نیست مصاحبه مهمه انشالله ک هممون موفق بشیم,1
مشاورم عضو هئیت علمی دانشگاه فرهنگیان هستن و از مصاحبه کننده هان گفتن ک دعوت شدن سخت‌تر قبول شدن هستش گفتن از هر 12.13 نفر 10 نفر قبولن ک باید نمره بالا70 بگیرن,0
30 درصد مصاحبه س چون دوبرابر ظرفیت دعوت میکنن یعنی مصاحبت باید قوی باشه,0
هفتاددرصد رتبه مهمه😐,0
سلام رافائل... شما نمیدونین سال 97 هم بومی استانی بوده یا شهرستانی؟,1
سلام با رتبه 1200 منطقه دو تو کدوم رشته‌ها شانس قبولی در پردیس فاطمه زهرا اصفهان دارم آموزش مشاوره و راهنمایی آموزش ابتدایی آموزش زبان و ادبیات فارسی آموزش الهیات,1
ندارید,0
سلام 26 هزار منطقه 3 امید ب فرهنگیان آموزش ابتدایی هست؟ مجاز شدم فعلا .),1
سلام رافائل توروخدا جواب منو بده🙏.با تراز 7900 و رتبه 11 هزار انسانی منطقه سه خوزستان امکان داره دعوت ب مصاحبه شم؟البته دختر,1
سلام رافائل توروخدا جواب منو بده🙏.با تراز 7900 و رتبه 11 هزار منطقه سه خوزستان امکان داره دعوت ب مصاحبه شم؟البته دختر,1
سلام ببخشید از طرفای ارومیه ، در رشته انسانی تراز 7720 چقدر شانس قبولی در فرهنگیان داره !؟ کسی هست بگه لطفاً مخلصم🌹,1
شما که اهل خویی رتبه و ترازت چند شد ؟,0
فک کنم ابتدایی بیاری اگه پسر باشی منم اهل خوی پسر,0
سلام به نظرتون اگه دانشگاه پیام نور ازطریق کنکورشرکت کنی سال دیگه میتونی کنکورشرکت کنی؟,1
سلام رافائل من ترازم 7700 منطقه ما هم نزدیک به 70 ظرفیت داره پسرم هستم چقدر شانس دعوت به مصاحبه دارم ممنون میشم بگی,1
تو مدل بومی استانی همه تو استان یکسان هستن و هیچ اولویتی نیست بنابراین بهترینای هر استان قبول میشن و هیچ شانسی واسه بقیه نیست ! اما تو مدل بومی شهرستانی ظرفیت‌های یه استان پخش شده بین شهرستان‌ها و اگه ظرفیت شهرستانت خوب باشه میتونی با رتبه بد هم قبول شی چون دیگه ظرفیت شهرشمارو نمیدن به جاهای دیگه استان ! (البته این قانون برای بیشتر استان‌ها صادقه برای بعضی استان‌ها مثل کرمان خوزستان سیستان بلوچستان تهران البرز قم هر کدوم به یه دلیلی صادق نیست) البته باید ببینید ظرفیت شهرتون چقدره ! رافائل,1
سلام،رافائل زیرگروه 5رتبه 4270 منطقه 3 معادل چند زیرگروه 5 منطقه 2ه,1
سلام نمیدونم,0
سلام توراخدا بگید فرهنگیان بومی شهرستان است یا استانی,1
شهرستانی......چون اولش نوشته اولویت پذیرش با شهرستان فلان,0
الان که میگن گزینش دانشجو بومی است، و منی که میخوام تو شهر خودم برم دانشگاه برای من الآن این خبره خوبیه؟ شانس قبولی رو زیاد میکنه یا فرقی نمیکنه؟,1
زیاد میکنه,0
سلام رافائل تو رو خدا جواب منو بده من با تراز 7650 و رتبه 8893منطقه دو خرم اباد لرستان شانس قبولی دارن,1
سلام شانس داری خوب انتخاب رشته کن ایشاالله قبول میشی ! رافائل,0
سلام رافائل با رتبه 1200 منطقه دو امیدی به قبولی مشاوره فرهنگیان اصفهان دارم؟,1
سلام درسته اصفهان جزو استانهاییه که رقابت سنگینه اما رتبتون خوبه شانس دارین قطعا ! رافائل,0
خداروشکر امسال بومی شهرستانی شده و برای خیلی هاتون خوشحالم این خبر خوبیه ! شانس قبولی خیلی میره بالاتر واسه اونایی که مناطق محروم یا شهر کوچیک هستن ! رافائل,1
رتبت خوبه احتمال قبولیت بالاس تو دفترچه نگاه کن شهرت چقد ظرفیت داره و همه‌ی کد رشته‌های استانت رو حتما بزن ! رافائل,0
سلام خسته نباشید تورا خدا جواب دهید با رتبه 3700 تراز 8500 انسانی متطقه 2 فرهنگیان آیا قبول میشم شهر بروجن توراخدا استرس دارم,0
آخه میگن سخت شده,0
سلام رافائل برای دومین بار می‌پرسم . با تراز 7904 منطقه2 شانس قبولی فرهنگیان دارم,1
