text,comment
کنکور عملی مهلت ثبت نامش تا کی هست؟,1
خسته نباشید به بچه‌ها ؛ از فرصت باقی مونده استفاده کنید و تاثیر آزمون عملی رو دست کم نگیرید.,1
مرسی😍😍من از فردا بعد زبان شروع میکنم,0
بچه‌ها پرستاری ازاد میگ با توجه به سخت و اسون بودن کنکوره ینی چی هرچی سخت‌تر باشه بهتره من درصدام کمه مثلا زیست شاید 20 بزنم شیمی 10 بزنم ریاضی و فیزیکم هم صفر عمومی معارف بالای 50 ادبیات بالای30 و زبان بالای 50 عربی 20 میتونم بیارم منطقه 3 هسم,1
سازمان سنجش که سوالارو نمیذاره جایی میشناسین که کلید و پاسخ دینی و ادبیاتو بر اساس همین دفترچه‌های اسکن شده که غیر رسمی اومدن بزاره؟,1
بچه‌ها سوال 5 غلط املایی فارسی چند میشه,1
گزینه 4 طبع رو به اشتباه تبع نوشته,0
بچه‌ها کوشین پس؟ سخت بود؟,1
خدایاشکرت که کنکورانسانی استانداردبود,1
فارسی و عربی استاندار بود!؟😐,0
عمومیابه نسبت پارسال آسانتربودن,0
چطور بود ینی؟ آسون بودن عمومیا؟,0
سلام رفقا حسابی خسته نباشید . چطور بود؟ سختیش در حد 1400 بود ؟,1
بچه‌های ریاضی چیشد لطفا خبر بدین,1
بد نبود,0
بچه‌های رشته ریاضی سطح سوالا تو هر درس رو میشه بگین لطفا,1
ریاضی خیلی سخت بود,0
کدوم اختصاصی سخت بوده در رشته ریاضی؟,1
گویا حسابان,0
کدوم اختصاصی سخت بوده در رشته ریاضی؟,1
بچه‌های ریاضیی چه خبر؟ چطور بود؟,1
سوالات هنر نیومد......,1
بعد از کنکور زبان همه منتشر میشن,0
بچه‌های ریاضی لطفا سطح دشوادی سوالات رو بگید,1
بچه‌های ریاضی لطفا بگید سطح سوالا چه طور بود,1
چه فرقی میکنه,0
جواب قرابتی هنرو دارین؟,1
دینی خیلی سخت‌تر از سال‌های قبل بود با این حال یه عده میگن همش از متن بود معلومه اصلا سوالا رو ندیده اند ما تو 1400 کلا از ایه‌ها 10الی12سوال داشتیم ارتباط مفهومی هم کلا 2یا3 تا که اونا هم خیلی اسان بودن امسال سوالا همش از بیت و ایه هست مثلا صورت سوال بیت داده ازت پرسیده با کدوم ایه ارتباط مفهومی داره بنظر من سخت‌ترین نوع سوال دینی همینه چون وقت گیره و سوالای زیادی بودن ک اصلا هیچ کدوم بر اساس کتاب درسی درست نبود. خیلیا میگن عربی و فارسی زبان یکم سخت بود دینی اسان ولی اون 3 درس اتفاقا اسون بودن.,1
پس تو اصلا برا کنکور نخوندی که خبر نداری هرسال باید 19تا آیه بدن,0
ریاضی بودی یا هنر؟,0
اشکال نداره عزیز هر چی بوده تموم شده انشالله که موفق باشی دیگه حرص چیو میخوری تو تلاشتو کردی نتیجشو میبینی,0
سلام رفقا کسی هست بتونه تو حل یه سری سوال فیزیک کمک کنه؟,1
امسال اینطور که میگن یعنی هم سطح 98هست؟,1
اصلا ادبیات امسال ولقعا غیرقابل مقایسه با 98 بود:/ یا دینیش٬ کلا آیه بود:/ عمرا هم سطح 98 باشه:/,0
ن بابا 98 دیگ تکرار نمیشه. بچه‌ها دارن با 1400 ک خیلی سخت بود مقایسه میکنن اونه میگن آسون بود ولی آسون نیست استاندارده,0
بچهها سوالا رو از کجا اوردین؟,1
کانال کنکور فرهنگیان کشور,0
ادبیات غلط املای سوال 6 کدومه بچه ها؟,1
خیلیا گفتن 4 ولی من میگم گزینه‌ی 1 درسته,0
سوال 6 گزینه 1 درسته تو بقیش بیغوله ؟ ذره ای ، اهتزاز غلطه,0
گزینه 1 غلط نداره..........غلط‌ها گزینه 2(بیغوله باید باشه)-گزینه3(باید ذره باشه)-گزینه4(اهتزاز باید باشه),0
بچههاا🔴 برگرداندن خون خورده شده توسط خفاش نوعی نشخواره؟,1
مگه بالا میاره بعد خودش میخورش؟ بالا میاره به یک خفاش دیگه میده این اسمش نشخوار نیست,0
نه نشخوار ینی دوباره غذا رو بجوه,0
نشخوار یعنی دوباره جویدن...,0
فقط گاو و گوسفند نشخوار کنندس,0
به نظر تو کتاب درسی به خفاش گفته پستاندار نشخوار کننده؟تنها پستاندار نشخوار کننده ای که کتاب اسمشو آورده جناب گاو و گوسفنده,0
ن اخه نشخواره برای پستاندارانه گفته,0
به نظرم نه,0
اگه بخوای اینجوری حساب کنی که برگردوندن غذای پرنده واسه بچه‌اش هم نشخوار باید بشه که-,0
سوال 24 میشه گزینه 3,1
آقا سوال 24 فارسی جوابش میشه 3 یا 4؟,1
دقیقا 3 میشه جوابش,0
بازم باید معنای دقیق روی سوالو ببینی تو روی سوال توصیه به سخاوتمندیه که تو گزینه 3 هم همین توصیه شده ولی توی گزینه 4 میگه ک با ی حسن تعلیل اومده به سخاوتمندی ابر اشاره کرده توصیه ای توش نیست. ممکنه این تحلیل غلط باشه ولی این چیزیه ک من فهمیدم,0
تحلیلی که از ی معلم داشتم میدیدم نزد اینو گفت سلیقه ای هست,0
بچه‌ها برای کنکور فردای ما هم دعا کنید . انشالله که همه به نتیجه ای که میخوان برسن و موفق باشن همیشه. توکلتون بر خدا,1
انشالله,0
بچه‌ها جواب سوالای دینی کنکور هنرو از کجا پیدا کنم؟,1
بچع‌ها أسرا در شب سیر کردن هس? مگه اون إسرا نیس,1
درشب سیر کردن میشه و نام هفدهمین سوره قران نیز هست. معنی اَسرا👉,0
براش فتحه گذاشته با اسرا جمع اسیر اشتباه نشه,0
اَسرا در شب سیر کردنه,0
بچه‌ها واسم دعا کنید فردا کنکور دارم پیرای آزاد بیارم شرمنده خانوادم نشم,1
سوال 25 قرابت چرا میگین گزینه‌ی 1؟ گزینه 4 هم میتونه باشه؟ چون گزینه‌ی یک هم میگه بدون رهبر یعنی تقابل باهاش,1
تقابل روی سوال باید توصیه به حرکت بدون رهبر باشه که تو گزینه 4 هم میگه به رهبر نیازی نیست ولی تو گزینه یک دلیل اینکه یک فرد بدون رهبر حرکت کرده رو توکل به خدا اشاره کرده توصیه به عدم گرفتن رهبر نیست.این نظر منه ولی باز باید کلید که منتشر شد بررسی کنیم,0
جوابش همون 4 عه,0
گزینه 4 میشه صد درصد,0
گزینه 4 بیشتر بهش نزدیکه,1
سوال 25 ادبیات چرا میگین الف؟ نباید د باشه مگه؟,1
گزینه 4 درسته,0
پاسخنامه هنر1401از کجا دانلود کردید؟,1
معلما برامون فرستادن,0
یکی لطفا میگه از کجا سوالات دفترچه عمومی هنر رو با پاسخ پیدا کنم؟ مگه منتشر شده چرا یسریا میگن دارن؟,1
الکی میگن,0
سلام دوستان انصافا سوالات هنر زیادی سخت نبود اصلا نگران نباشید...انشالا هر کسی تلاش کرده به اون هدفش میرسه.,1
سخت بود بهتر بود من نگران سخت نبودنشم,0
میشه جواب املای سوال 5 ادبیات رو اگه کسی میدونه بگه؟,1
طبق دفترچه ای گزینه 4 کلپه تبع غلط و باید به صورت طبع ملول نوشته بشه .,0
مداد فشاری میذارن تو کنکور؟,1
اره من بردم,0
سلام بچه‌ها سوال املا سوال 5 کدوم بود ؟میشه لطفا اگه میدونین بگین؟,1
قطعا 4,0
ایهاالناس سولارو چجوری دانلود کنم ؟ از کجا ؟,1
نیومده هنوز,0
یکی صادقانه بگه سوالا چجوری بود؟سخت؟,1
1400 به نظرم راحت‌تر بود به خصوص ترجمه‌های عربی و قرابت‌های ادبیاتش تو زبان تفاوتی ندیدم ولی,0
نه در حد 1400 و 99 سخت و نه مثل 98 انقدر اسون ولی باز بنظرم سطحش به 98 نزدیک‌تر بود,0
