text,comment
"کاربر - C1223FB8
11 مرداد 1401
خدا چرا نتایج نمیاد
5",1
اینایی که میگن آسونه همشون الکی میگن معلومه اصن سوالارو درست جواب ندادن ریاضی سخت بود زیستم سخت بود نسبت به پارسال فیزیک راحتتر بود و سوالاش روتین بود شیمیم خیلی سختتر بود نسبت به پارسال ادبیاتم بنظرم متوسط رو به بالا بود بقیه درساش روتین کنکور بودن هیچ درسی خیلی آسون و سطح پایین نبود هرکی اینو میگه ینی سوالارو اصن حل نکرده 😉,1
یعنی هرکس که خلاف نظر شما حرف بزنه دروغ گو هست؟!,0
دقیقا همینه آنهایی که گفتن آسون بوده احتمالا اصلا یادشان نیست چکار کردن زیست که خیلی سخت بود به ندرت بالای 50درصد زدن همه دروع میگن ،بعد از زیست شیمی هم واقعا سخت و دام دار بود بعد به ترتیب ریاضی ولی فیزیک تقریبا خوب بود عربی فرم سوال عوض شده بود دینی و زبان در یو حد بود فارسی کمی روتین بود,0
سطح سختی از نظر دانش آموز‌های مختلف باهم متفاوت. مثلا یکی تو قلمچی زیست و 15 درصد میزنه اینجا میشه 25 درصد میگه اره آسون بود و برعکس یکی ک 85 میزده الان شده 60 میگ سخت بود. و اینکه بعضی از بچه هایی ک اینجا گفتن آسون بود مثل خانم کرد اینا از رتبه‌های برتری کشوری ان طبیعیه ک آسون باشع براشون . من خودم نود درصد اوقات جز برتر‌های زیست بودم ک معتقدم زیست اش واقعا ایده دار بود ولی بقیه درس‌ها سطح متوسطی داشتن,0
لایک حاجی حرف حق,0
بله گرفتم.,0
آقای پورخسرو شما درصد گرفتی؟,0
تعداد لایک:2127😶,0
خب فکر نمی‌کنم زیاد درست بفرمایید.سوالات خوب بودن غیر از چند مورد درواقع سخت نبودن .دام دار بودن,0
درواقع سوالات ایده داری نبودن بلکه دام دار بودن,0
من با نظر شما مخالفم شاید شیمی زیست و تا حدودی انگلیسی و ادبیات چالش داشتن ولی واقعا ریاضی مسخره ای داشت به عنوان مثال چرا باید اون سوال حد وجود داشت که فقط با یه جاگذاری ساده حل میشد؟ فیزیک حتی یه سوال چالشی و ایده دار نداشت این جور سوالا تنها کاری که میکنن اینه دانش آموزها رو برمبنای کنترل خودشون سرجلسه از هم تفکیک میکنه و این وسط بیشترین لطمه رو دانش آموزی میخوره که واقعا زحمت کشیده ولی ترسیده من فیزیک رو سر یه مثبت و منفی قاطی کردن نتونستم 100 بزنم پس اینطور نیست بگید هرکس گفت آسونه حل نکرده,0
به نظر می‌رسه عمومی‌های کنکور امسال در حدود 99 و اختصاصی‌ها با توجه سوالات مبهم زیست و چالش شیمی و تراز‌ها رو بیشتر از 99 جابه جا کنه,0
ببخشید شما درصداتون چند بود ؟,0
سلام کاملا با نظر شما موافقم من وقتی سر جلسه پاشدم ب بچه‌های دور و برم گفتم زیست و شیمی اذیتم کرد و یه خورده عربی. من اکثر بچه‌های حوضه رو از لحاظ علمی میشناختم میدیدم ک کسایی میگن کنکور راحت بود ک تو دوران مدرسه واقعا چیزی حالیشون نبود .نمیگم سوالات اونقد سخت بودن ک قابل حل نبود ولی کنار هم قرار گرفتن زیست سخت کار ریاضی رو هم خراب میکرد چون نمیتونستیم از زیست بگذریم من خودم المپیادی ریاضیم ولی مجبور شدم سر کنکور ریاضی رو فدای زیست کنم و همین طور فیزیک و شیمی (ساناز عزیزی),0
اره فیزیک فقط قابل تحمل بود از اختصاصی‌ها زیست خیلی باشیمی گیج کننده بود بااینکه روی زیستو شیمی وقت زیادی میزاشتم ولی...😂خیلی اعصابم داغونه 🙂,0
دقیقا فقط فیزیکش یکم بهتر بود بقیه درساش متوسط رو به بالا و حتی سخت بوده,0
دمت گرم محمد متین ، 12 الی 13 ساعت! من آرزوم بود بتونم میانگین 10 ساعت بخونم آخرشم نشد، دوستانی که این ساعات مطالعه رو دارید با بازده اینقدر میخونید واقعا؟,0
سختی زیست خیلی حس نکردم به خاطر روش مطالعه ای که داشتم اما فیزیک واسم واقعا چالشی بود,0
کاملا حرف حق و درستی زدی. بچه‌ها من میانگین روزانه 12 الی 13ساعت مطالعه داشتم. ولی اصلا احساس نمیکنم که آسان بود.تازه خیلی جاهاش به چالش کشیده شدم. اینایی که میگن آسان بود از رو چه حسابی میگین؟,0
حرف حق رو شما زدید عمومی واقعا انرژی آدم رو می‌گرفت ریاضی سخت نبود اما اکثر مجبور شدیم وقت ریاضی بگذرم برای زیست این خودش انرژی بیشتری ازمون گرفت من خودم اول زمین زدم روحیه بگیرم و شیمی موردی‌ها یک مورد فنول خارج کتاب بود و سوال هاش وقت گیر و موردی راحت مثل میعان و...داشت شد بلاجان فیزیک یه عده از ظهر تا غروب برا خودشون تو خونه با استراحت تست زدن از فشار چهار ساعته دور شدن به هر حال توکل بر خدا عزیزان نابغه که میگن آسون بود با نام کاربری واقعی بیان تا ما با ترازشون آشنا بشیم,0
منم موافقم مطمئنم اونیکه زده راحت اصلا سوالارو نخونده خودم وقتی ساعت 12 سرم و از روی برگه برداشتم 80 درصد سالن خالی بود انقد سوالات سخت بود کسی نمونده بود چرت میگن همشون 😕😂,0
ادبیات: متوسط، عربی: متوسط، دینی: نسبتا سخت، زبان: متوسط، ریاضی: نسبتا سخت، زیست: سخت و شک برانگیز، فیزیک: متوسط، شیمی: نسبتا سخت,0
دقیقا تازه ریاضی ش یه ذره نرمال بود به نظرم. دینی ش خیلی سخت بود,0
اون خانمی که گفت شیمی از 99 1400 اسون‌تر بود شیمیو سری قبل تو کانون که انقدر اسون بود 2 از 10 زد🤣خیلی به نظر بچه‌ها دقت نکنین,0
عجب لایکی برگام,0
منم با خانم بنی فاطمه موافقم.سوالات فقط ظاهرشون خوب بود اکثرا,0
آقا 425 شما که میگی شیمی هیچی نداشت درصدتو درآوردی اینجوری میگی هیچی نداشت پارسال داوطلبی بود میگفت شیمی اش خوب بود آسون بود منفی زده بود من خودم نگاه کردم دیدم سطح سوالات بالا بود چرا چون ظرفیت‌ها افزایش یافته بعد تعداد داوطلبین زیاد شده بود,0
خدایی شیمی هیچی نداشت,0
